                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5192,                 2.6068,                 2.3106,                 0.9758,                      1,                  0.995,                0.80364,                0.73055,                 1.5822,                 1.3088,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1154,                  1.965,                 1.5466,                0.99205,                      1,                  0.995,                 0.8418,                0.69356,                 1.1767,                 1.2683,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                 1.1924,                 1.9748,                 1.9624,                0.96193,                      1,                  0.995,                 0.8751,                 0.6592,                 3.0845,                 1.1998,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                0.73266,                  1.101,                 1.4369,                0.96297,                      1,                  0.995,                0.87509,                0.60597,                 5.6373,                 1.1242,             0.00012614,             0.00012614,             0.00012614
                      5,                0.54252,                 3.7292,                 1.2596,                 0.9529,                      1,                  0.995,                0.77587,                0.77568,                 3.9191,                 1.1776,             0.00015624,             0.00015624,             0.00015624
                      6,                0.87232,                  1.759,                 1.4562,                 0.9529,                      1,                  0.995,                0.77587,                0.77568,                 3.9191,                 1.1776,              0.0001837,              0.0001837,              0.0001837
                      7,                0.94925,                 1.6776,                 1.2853,                0.97517,                    0.8,                   0.92,                0.69592,                 1.0766,                  2.874,                 1.3507,             0.00020852,             0.00020852,             0.00020852
                      8,                 1.1208,                 1.4514,                 1.5337,                0.97517,                    0.8,                   0.92,                0.69592,                 1.0766,                  2.874,                 1.3507,              0.0002307,              0.0002307,              0.0002307
                      9,                 1.5232,                  3.524,                  1.648,                0.82575,                      1,                0.96167,                0.80222,                0.69633,                 3.7904,                 1.1713,             0.00025024,             0.00025024,             0.00025024
                     10,                 1.2057,                 1.4173,                 1.7792,                0.82575,                      1,                0.96167,                0.80222,                0.69633,                 3.7904,                 1.1713,             0.00026714,             0.00026714,             0.00026714
                     11,                0.64274,                0.99059,                 1.1103,                0.70508,                      1,                0.88071,                0.72698,                0.65869,                 5.1963,                 1.2113,              0.0002814,              0.0002814,              0.0002814
                     12,                0.89482,                 1.0824,                 1.3784,                0.70508,                      1,                0.88071,                0.72698,                0.65869,                 5.1963,                 1.2113,             0.00029302,             0.00029302,             0.00029302
                     13,                0.82971,                 1.1377,                 1.4541,                0.70508,                      1,                0.88071,                0.72698,                0.65869,                 5.1963,                 1.2113,               0.000302,               0.000302,               0.000302
                     14,                0.62625,                 1.5304,                 1.3577,                0.98638,                      1,                  0.995,                0.83555,                0.76673,                 1.0577,                 1.2219,             0.00030834,             0.00030834,             0.00030834
                     15,                0.52971,                0.95938,                 1.1559,                0.98638,                      1,                  0.995,                0.83555,                0.76673,                 1.0577,                 1.2219,             0.00031204,             0.00031204,             0.00031204
                     16,                0.58544,                0.96488,                 1.3036,                0.98638,                      1,                  0.995,                0.83555,                0.76673,                 1.0577,                 1.2219,              0.0003131,              0.0003131,              0.0003131
                     17,                0.96621,                  1.093,                 1.4693,                0.98638,                      1,                  0.995,                0.83555,                0.76673,                 1.0577,                 1.2219,             0.00031152,             0.00031152,             0.00031152
                     18,                0.66618,                 1.2275,                 1.3988,                0.66949,                      1,                  0.995,                0.80759,                0.73691,                 2.9698,                 1.2421,              0.0003073,              0.0003073,              0.0003073
                     19,                0.68019,                0.68773,                 1.1383,                0.66949,                      1,                  0.995,                0.80759,                0.73691,                 2.9698,                 1.2421,             0.00030044,             0.00030044,             0.00030044
                     20,                0.59239,                 1.4132,                 1.1459,                0.66949,                      1,                  0.995,                0.80759,                0.73691,                 2.9698,                 1.2421,             0.00029094,             0.00029094,             0.00029094
                     21,                0.53725,                 1.7071,                 1.3565,                0.66949,                      1,                  0.995,                0.80759,                0.73691,                 2.9698,                 1.2421,              0.0002788,              0.0002788,              0.0002788
                     22,                0.42992,                 1.1536,                 1.0526,                0.66949,                      1,                  0.995,                0.80759,                0.73691,                 2.9698,                 1.2421,             0.00026402,             0.00026402,             0.00026402
                     23,                0.55531,                 1.4989,                 1.3952,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,              0.0002466,              0.0002466,              0.0002466
                     24,                 1.5133,                 1.4886,                 2.0323,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,             0.00022654,             0.00022654,             0.00022654
                     25,                0.52669,                 1.1404,                 1.4287,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,             0.00020384,             0.00020384,             0.00020384
                     26,                0.41991,                 1.0284,                 1.1425,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,              0.0001785,              0.0001785,              0.0001785
                     27,                0.40292,                 1.0716,                 1.0559,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,             0.00015052,             0.00015052,             0.00015052
                     28,                 1.6471,                  1.323,                 2.0849,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,              0.0001199,              0.0001199,              0.0001199
                     29,                0.54637,                 1.3795,                 1.5283,                0.68509,                      1,                0.89786,                0.73055,                0.82206,                 2.4138,                 1.3176,              8.664e-05,              8.664e-05,              8.664e-05
                     30,                0.93753,                 1.2685,                 1.7954,                0.81275,                      1,                  0.995,                0.83175,                0.72948,                  1.449,                 1.2275,              5.074e-05,              5.074e-05,              5.074e-05
